pfp;block;year;quart;screen;tile;category;fact;plan;fact_prev;mera;color1;proc1;text1;color2;proc2;text2;color3;color4;val4;isParent;addClass
Прогноз;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Аллокация;-;-;-;млрд. руб;;;;;;;;;;parent;allokaciya_click
Прогноз;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;ДЗО;137.7;119.4;+18.3;млрд. руб;;;;;;;;;;parent;
Прогноз;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Прямые расходы;121.2;121.2;0.0;млрд. руб;;;;;;;;;;child;
Прогноз;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Персонал ;84.7;84.7;0.0;млрд. руб;;;;;;;;;;child;staff_click
Прогноз;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Недвижимость;11.2;11.2;0.0;млрд. руб;;;;;;;;;;child;prop_click
Прогноз;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;ИТ;10.4;6.8;-3.6;млрд. руб;;;;;;;;;;child;
Прогноз;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Бизнес-расходы;5.1;3.8;-1.3;млрд. руб;;;;;;;;;;child;
Прогноз;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Налоги;3.7;3.7;0.0;млрд. руб;;;;;;;;;;child;
Прогноз;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Благотворительность;0.9;0.9;0.0;млрд. руб;;;;;;;;;;child;
Прогноз;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Транспорт;1.0;1.0;0.0;млрд. руб;;;;;;;;;;child;
Прогноз;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Маркетинг;0.5;0.5;0.0;млрд. руб;;;;;;;;;;child;
Прогноз;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Прочее;3.1;8.4;+5.3;млрд. руб;;;;;;;;;;child;
Прогноз;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Аллокация;-;-;-;млрд. руб;;;;;;;;;;parent;allokaciya_click
Прогноз;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;ДЗО;42.4;42.3;-0.1;млрд. руб;;;;;;;;;;parent;
Прогноз;КБ;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Прямые расходы;43.0;39.1;-3.9;млрд. руб;;;;;;;;;;child;
Прогноз;КБ;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Бизнес-расходы;0.8;0.9;+0.1;млрд. руб;;;;;;;;;;child;
Прогноз;КБ;42017;42017;плитка 2 OPEX;Категории расходов OPEX;ИТ;0.6;0.5;-0.1;млрд. руб;;;;;;;;;;child;
