pfp;block;year;quart;modal;category;plan;fact;radius;title;text;lat;long;;;;
Факт;КБ;12018;12018;Карта OPEX по ТБ;;;;0;Юго-Западный банк;Центральный Аппарат;44.223498;41.138609;;0;;0
Прогноз;Все;42017;42017;Карта OPEX по ТБ;;;;0;Подразделения ЦА;Центральный Аппарат;55.629177;37.633741;;0;;0
Прогноз;КБ;42017;42017;Карта OPEX по ТБ;;;;0;Подразделения ЦА;Центральный Аппарат;55.629177;37.633741;;0;;0
Прогноз;все;12018;12018;Карта OPEX по ТБ;;;;30;Подразделения ЦА;Центральный Аппарат: 121.2 млрд.руб;55.629177;37.633741;;121.2;;30
Прогноз;КБ;12018;12018;Карта OPEX по ТБ;;;;0;Подразделения ЦА;Центральный Аппарат;55.629177;37.633741;;0;;0
План;все;42017;42017;CIR;2015;0;43.9;;;;;;;;;
План;все;42017;42017;CIR;2016;0;38.6;;;;;;;;;
План;все;42017;42017;CIR;2017;0;34.9;;;;;;;;;
План;все;42017;42017;CIR;2018Q1;0;31.5;;;;;;;;;
План;все;42017;42017;CIR;2018;0;34.0;;;;;;;;;
План;все;42017;42017;CIR;2019;0;32.5;;;;;;;;;
План;все;42017;42017;CIR;2020;0;30.6;;;;;;;;;
Факт;все;42017;42017;CIR;2015;0;43.9;;;;;;;;;
Факт;все;42017;42017;CIR;2016;0;38.6;;;;;;;;;
Факт;все;42017;42017;CIR;2017;0;34.9;;;;;;;;;
Факт;все;42017;42017;CIR;2018Q1;0;31.5;;;;;;;;;
Факт;все;42017;42017;CIR;2018;0;34.0;;;;;;;;;
Факт;все;42017;42017;CIR;2019;0;32.5;;;;;;;;;
Факт;все;42017;42017;CIR;2020;0;30.6;;;;;;;;;
Прогноз;все;42017;42017;CIR;2015;0;43.9;;;;;;;;;
Прогноз;все;42017;42017;CIR;2016;0;38.6;;;;;;;;;
Прогноз;все;42017;42017;CIR;2017;0;34.9;;;;;;;;;
Прогноз;все;42017;42017;CIR;2018Q1;0;31.5;;;;;;;;;
Прогноз;все;42017;42017;CIR;2018;0;34.0;;;;;;;;;
Прогноз;все;42017;42017;CIR;2019;0;32.5;;;;;;;;;
Прогноз;все;42017;42017;CIR;2020;0;30.6;;;;;;;;;
План;КБ;42017;42017;CIR;2015;0;43.9;;;;;;;;;
План;КБ;42017;42017;CIR;2016;0;38.6;;;;;;;;;
План;КБ;42017;42017;CIR;2017;0;34.9;;;;;;;;;
План;КБ;42017;42017;CIR;2018Q1;0;31.5;;;;;;;;;
План;КБ;42017;42017;CIR;2018;0;34.0;;;;;;;;;
План;КБ;42017;42017;CIR;2019;0;32.5;;;;;;;;;
План;КБ;42017;42017;CIR;2020;0;30.6;;;;;;;;;
Факт;КБ;42017;42017;CIR;2015;0;43.9;;;;;;;;;
Факт;КБ;42017;42017;CIR;2016;0;38.6;;;;;;;;;
Факт;КБ;42017;42017;CIR;2017;0;34.9;;;;;;;;;
Факт;КБ;42017;42017;CIR;2018Q1;0;31.5;;;;;;;;;
Факт;КБ;42017;42017;CIR;2018;0;34.0;;;;;;;;;
Факт;КБ;42017;42017;CIR;2019;0;32.5;;;;;;;;;
Факт;КБ;42017;42017;CIR;2020;0;30.6;;;;;;;;;
Прогноз;КБ;42017;42017;CIR;2015;0;43.9;;;;;;;;;
Прогноз;КБ;42017;42017;CIR;2016;0;38.6;;;;;;;;;
Прогноз;КБ;42017;42017;CIR;2017;0;34.9;;;;;;;;;
Прогноз;КБ;42017;42017;CIR;2018Q1;0;31.5;;;;;;;;;
Прогноз;КБ;42017;42017;CIR;2018;0;34.0;;;;;;;;;
Прогноз;КБ;42017;42017;CIR;2019;0;32.5;;;;;;;;;
Прогноз;КБ;42017;42017;CIR;2020;0;30.6;;;;;;;;;
План;все;12018;12018;CIR;2015;0;43.9;;;;;;;;;
План;все;12018;12018;CIR;2016;0;38.6;;;;;;;;;
План;все;12018;12018;CIR;2017;0;34.9;;;;;;;;;
План;все;12018;12018;CIR;2018Q1;0;31.5;;;;;;;;;
План;все;12018;12018;CIR;2018;0;34.0;;;;;;;;;
План;все;12018;12018;CIR;2019;0;32.5;;;;;;;;;
План;все;12018;12018;CIR;2020;0;30.6;;;;;;;;;
