pfp;block;year;quart;tile;category;fact;plan;mera;arrow1;color1;proc1;text1;arrow2;color2;proc2;text2
Прогноз;все;42017;42017;Численность;;н/д;;;;;-;нет данных за период;;;-;
Прогноз;все;12018;12018;Численность;;н/д;;;;;-;нет данных за период;;;-;
Прогноз;все;42017;42017;Категории расходов;Персонал;н/д;н/д;;;;;;;;;
Прогноз;все;42017;42017;Категории расходов;Недвижимость;н/д;н/д;;;;;;;;;
Прогноз;все;42017;42017;Категории расходов;ИТ;н/д;н/д;;;;;;;;;
Прогноз;все;42017;42017;Категории расходов;Бизнес;н/д;н/д;;;;;;;;;
Прогноз;все;42017;42017;Категории расходов;Налоги;н/д;н/д;;;;;;;;;
Прогноз;все;42017;42017;Категории расходов;Прочее;н/д;н/д;;;;;;;;;
Прогноз;все;12018;12018;Категории расходов;Персонал;84.7;0%;;;;;;;;;
Прогноз;все;12018;12018;Категории расходов;Недвижимость;11.2;0%;;;;;;;;;
Прогноз;все;12018;12018;Категории расходов;ИТ;6.8;-34.4%;;;;;;;;;
Прогноз;все;12018;12018;Категории расходов;Бизнес;3.8;-24.7%;;;;;;;;;
Прогноз;все;12018;12018;Категории расходов;Налоги;3.7;0%;;;;;;;;;
Прогноз;все;12018;12018;Категории расходов;Прочее;3.7;+83.3%;;;;;;;;;
Прогноз;все;12018;12018;ФОКУС;Сокращение расходов на недвижимость;-3;;;;;;;;;;%
Прогноз;все;12018;12018;ФОКУС;Экономия от PUSH-уведомлений;600;;млн. руб.;;;;;;;;
Прогноз;все;12018;12018;ФОКУС;Рост заездов ЦУНДО и сохранение парка УС;+17;;;;;;;;;;%
Прогноз;все;12018;12018;ФОКУС;Рост расходы на персонал;+5;;;;;;;;;;%
Прогноз;все;12018;12018;ФОКУС;Выполнение КПЭ по ограничению оплаты труда;3;;блока;;;;;;;;
Прогноз;все;42017;42017;ФОКУС;Сокращение расходов на недвижимость;н/д;;;;;;;;;;
Прогноз;все;42017;42017;ФОКУС;Экономия от PUSH-уведомлений;н/д;;;;;;;;;;
Прогноз;все;42017;42017;ФОКУС;Рост заездов ЦУНДО и сохранение парка УС;н/д;;;;;;;;;;
Прогноз;все;42017;42017;ФОКУС;Рост расходы на персонал;н/д;;;;;;;;;;
Прогноз;все;42017;42017;ФОКУС;Выполнение КПЭ по ограничению оплаты труда;н/д;;;;;;;;;;
Прогноз;КБ;42017;42017;CIR;;н/д;;;;;-;нет данных за период;;;-;
Прогноз;КБ;12018;12018;CIR;;24.9;;%;;;-;нет данных за период;;;-;
Прогноз;КБ;42017;42017;OPEX;;39.1;;млрд. руб.;;;-;нет данных за период;;;-;
Прогноз;КБ;12018;12018;OPEX;;11.6;;млрд. руб.;up;red;17%;к номин.;;;-;нет данных за период
Прогноз;КБ;42017;42017;CAPEX;;н/д;;млрд. руб.;;;-;нет данных за период;;;-;
Прогноз;КБ;12018;12018;CAPEX;;н/д;;млрд. руб.;;;-;нет данных за период;;;-;
Прогноз;КБ;42017;42017;Численность;;н/д;;;;;-;нет данных за период;;;-;
Прогноз;КБ;12018;12018;Численность;;н/д;;;;;-;нет данных за период;;;-;
Прогноз;КБ;42017;42017;Категории расходов;Персонал;32.5;+12%;;;;;;;;;
Прогноз;КБ;42017;42017;Категории расходов;Недвижимость;2.3;+42%;;;;;;;;;
Прогноз;КБ;42017;42017;Категории расходов;ИТ;0.5;+35%;;;;;;;;;
Прогноз;КБ;42017;42017;Категории расходов;Бизнес;0.9;-12%;;;;;;;;;
Прогноз;КБ;42017;42017;Категории расходов;Налоги;0.7;+42%;;;;;;;;;
Прогноз;КБ;42017;42017;Категории расходов;Прочее;2.2;-32%;;;;;;;;;
Прогноз;КБ;12018;12018;Категории расходов;Персонал;10.2;+4%;;;;;;;;;
Прогноз;КБ;12018;12018;Категории расходов;Недвижимость;0.5;-43%;;;;;;;;;
Прогноз;КБ;12018;12018;Категории расходов;ИТ;0.1;-5%;;;;;;;;;
Прогноз;КБ;12018;12018;Категории расходов;Бизнес;0.1;+89%;;;;;;;;;
Прогноз;КБ;12018;12018;Категории расходов;Налоги;0.2;+214%;;;;;;;;;
Прогноз;КБ;12018;12018;Категории расходов;Прочее;0.4;+234%;;;;;;;;;
Прогноз;КБ;12018;12018;ФОКУС;Сокращение расходов на недвижимость;-3;;;;;;;;;;%
Прогноз;КБ;12018;12018;ФОКУС;Экономия от PUSH-уведомлений;600;;млн. руб.;;;;;;;;
Прогноз;КБ;12018;12018;ФОКУС;Рост заездов ЦУНДО и сохранение парка УС;+17;;;;;;;;;;%
Прогноз;КБ;12018;12018;ФОКУС;Рост расходы на персонал;+5;;;;;;;;;;%
Прогноз;КБ;12018;12018;ФОКУС;Выполнение КПЭ по ограничению оплаты труда;3;;блока;;;;;;;;
Прогноз;КБ;42017;42017;ФОКУС;Сокращение расходов на недвижимость;н/д;;;;;;;;;;
Прогноз;КБ;42017;42017;ФОКУС;Экономия от PUSH-уведомлений;н/д;;;;;;;;;;
Прогноз;КБ;42017;42017;ФОКУС;Рост заездов ЦУНДО и сохранение парка УС;н/д;;;;;;;;;;
Прогноз;КБ;42017;42017;ФОКУС;Рост расходы на персонал;н/д;;;;;;;;;;
Прогноз;КБ;42017;42017;ФОКУС;Выполнение КПЭ по ограничению оплаты труда;н/д;;;;;;;;;;
