pfp;block;year;quart;screen;tile;quart;block;category;fact;plan;fact_prev;mera;color1;proc1;text1;color2;proc2;text2;color3;color4;val4;isParent;addClass
Факт;КБ;12018;12018;плитка 2 OPEX;Полные расходы;12018;КБ;Дочерние общества;12.0;23.9;11.9;млрд. руб;white;;;green;;;;;;;
Факт;КБ;12018;12018;плитка 2 OPEX;Полные расходы;12018;КБ;Полные расходы;0;23.9;23.9;млрд. руб;white;;;grey;;;;;;;
Факт;КБ;42017;42017;плитка 2 OPEX;Динамика OPEX;42017;КБ;2015;н/д;;;млрд. руб;blue;;;;;;;;;;
Факт;КБ;42017;42017;плитка 2 OPEX;Динамика OPEX;42017;КБ;2016;н/д;;;млрд. руб;blue;;;;;;;;;;
Факт;КБ;42017;42017;плитка 2 OPEX;Динамика OPEX;42017;КБ;2017;40;;;млрд. руб;blue;;;;;;;;;;
Факт;КБ;42017;42017;плитка 2 OPEX;Динамика OPEX;42017;КБ;2018;42.4;;;млрд. руб;blue;;;;;;;;;;
Факт;КБ;42017;42017;плитка 2 OPEX;Динамика OPEX;42017;КБ;2019;н/д;;;млрд. руб;blue;;;;;;;;;;
Факт;КБ;42017;42017;плитка 2 OPEX;Динамика OPEX;42017;КБ;2020;н/д;;;млрд. руб;blue;;;;;;;;;;
Факт;КБ;42017;42017;плитка 2 OPEX;Динамика OPEX (vs инфляция);42017;КБ;2015;н/д;12.9;;%;salad;;;grey;;;;;;;
Факт;КБ;42017;42017;плитка 2 OPEX;Динамика OPEX (vs инфляция);42017;КБ;2016;н/д;5.4;;%;salad;;;grey;;;;;;;
Факт;КБ;42017;42017;плитка 2 OPEX;Динамика OPEX (vs инфляция);42017;КБ;2017;5;2.5;;%;salad;;;grey;;;;;;;
Факт;КБ;42017;42017;плитка 2 OPEX;Динамика OPEX (vs инфляция);42017;КБ;2018;6;4.0;;%;salad;;;grey;;;;;;;
Факт;КБ;42017;42017;плитка 2 OPEX;Динамика OPEX (vs инфляция);42017;КБ;2019;н/д;4.0;;%;salad;;;grey;;;;;;;
Факт;КБ;42017;42017;плитка 2 OPEX;Динамика OPEX (vs инфляция);42017;КБ;2020;н/д;4.0;;%;salad;;;grey;;;;;;;
Факт;КБ;12018;12018;плитка 2 OPEX;Динамика OPEX;12018;КБ;2015;н/д;;;млрд. руб;blue;;;;;;;;;;
Факт;КБ;12018;12018;плитка 2 OPEX;Динамика OPEX;12018;КБ;2016;н/д;;;млрд. руб;blue;;;;;;;;;;
Факт;КБ;12018;12018;плитка 2 OPEX;Динамика OPEX;12018;КБ;2017;40;;;млрд. руб;blue;;;;;;;;;;
Факт;КБ;12018;12018;плитка 2 OPEX;Динамика OPEX;12018;КБ;2018;42.4;;;млрд. руб;blue;;;;;;;;;;
Факт;КБ;12018;12018;плитка 2 OPEX;Динамика OPEX;12018;КБ;2019;н/д;;;млрд. руб;blue;;;;;;;;;;
Факт;КБ;12018;12018;плитка 2 OPEX;Динамика OPEX;12018;КБ;2020;н/д;;;млрд. руб;blue;;;;;;;;;;
Факт;КБ;12018;12018;плитка 2 OPEX;Динамика OPEX (vs инфляция);12018;КБ;2015;н/д;12.9;;%;salad;;;grey;;;;;;;
Факт;КБ;12018;12018;плитка 2 OPEX;Динамика OPEX (vs инфляция);12018;КБ;2016;н/д;5.4;;%;salad;;;grey;;;;;;;
Факт;КБ;12018;12018;плитка 2 OPEX;Динамика OPEX (vs инфляция);12018;КБ;2017;5;2.5;;%;salad;;;grey;;;;;;;
Факт;КБ;12018;12018;плитка 2 OPEX;Динамика OPEX (vs инфляция);12018;КБ;2018;6;4.0;;%;salad;;;grey;;;;;;;
Факт;КБ;12018;12018;плитка 2 OPEX;Динамика OPEX (vs инфляция);12018;КБ;2019;н/д;4.0;;%;salad;;;grey;;;;;;;
Факт;КБ;12018;12018;плитка 2 OPEX;Динамика OPEX (vs инфляция);12018;КБ;2020;н/д;4.0;;%;salad;;;grey;;;;;;;
Факт;КБ;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;42017;КБ;Бизнес функция;н/д;;;;green;;;;;;;;;;
Факт;КБ;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;42017;КБ;Обеспечивающая функция;н/д;;;;yellow;;;;;;;;;;
Факт;КБ;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;42017;КБ;Корпоративный центр;н/д;;;;blue;;;;;;;;;;
Факт;КБ;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;42017;КБ;Дочерние общества;н/д;;;;purple;;;;;;;;;;
